2024-04-25 03:09:06 - System Idle Process (PID: 0) - CPU: 718.8%, MEM: 6.474914239760894e-05%
2024-04-25 03:10:07 - System Idle Process (PID: 0) - CPU: 450.7%, MEM: 6.474914239760894e-05%
2024-04-25 03:11:09 - System Idle Process (PID: 0) - CPU: 672.6%, MEM: 6.474914239760894e-05%
2024-04-25 03:12:11 - System Idle Process (PID: 0) - CPU: 692.2%, MEM: 6.474914239760894e-05%
2024-04-25 03:13:13 - System Idle Process (PID: 0) - CPU: 439.2%, MEM: 6.474914239760894e-05%
2024-04-25 03:13:14 - python.exe (PID: 2412) - CPU: 81.5%, MEM: 0.8400553734665784%
2024-04-25 03:14:15 - System Idle Process (PID: 0) - CPU: 508.7%, MEM: 6.474914239760894e-05%
2024-04-25 03:14:16 - MsMpEng.exe (PID: 4960) - CPU: 123.5%, MEM: 2.1455599570583685%
2024-04-25 03:15:17 - System Idle Process (PID: 0) - CPU: 713.5%, MEM: 6.474914239760894e-05%
2024-04-25 03:16:20 - System Idle Process (PID: 0) - CPU: 429.7%, MEM: 6.474914239760894e-05%
2024-04-25 03:17:23 - System Idle Process (PID: 0) - CPU: 729.4%, MEM: 6.474914239760894e-05%
2024-04-25 03:18:25 - System Idle Process (PID: 0) - CPU: 722.4%, MEM: 6.474914239760894e-05%
2024-04-25 07:02:49 - System Idle Process (PID: 0) - CPU: 354.6%, MEM: 6.474914239760894e-05%
2024-04-25 07:02:54 - MsMpEng.exe (PID: 6248) - CPU: 119.2%, MEM: 2.1474376821878995%
2024-04-25 07:03:55 - System Idle Process (PID: 0) - CPU: 438.6%, MEM: 6.474914239760894e-05%
2024-04-25 07:03:56 - python.exe (PID: 7140) - CPU: 98.2%, MEM: 0.8357171809259387%
2024-04-25 07:04:56 - System Idle Process (PID: 0) - CPU: 517.2%, MEM: 6.474914239760894e-05%
2024-04-25 07:34:24 - System Idle Process (PID: 0) - CPU: 450.0%, MEM: 6.474914239760894e-05%
2024-04-25 07:35:26 - System Idle Process (PID: 0) - CPU: 358.7%, MEM: 6.474914239760894e-05%
2024-04-25 07:35:27 - MsMpEng.exe (PID: 6000) - CPU: 81.6%, MEM: 2.6626789828168724%
2024-04-25 07:35:27 - python.exe (PID: 10040) - CPU: 95.4%, MEM: 0.8243213318639595%
2024-04-25 07:36:28 - System Idle Process (PID: 0) - CPU: 486.4%, MEM: 6.474914239760894e-05%
2024-04-25 07:36:29 - python.exe (PID: 10040) - CPU: 93.1%, MEM: 0.8254868164271165%
2024-04-25 07:37:30 - System Idle Process (PID: 0) - CPU: 662.8%, MEM: 6.474914239760894e-05%
2024-04-25 07:39:37 - System Idle Process (PID: 0) - CPU: 696.8%, MEM: 6.474914239760894e-05%
2024-04-25 07:40:38 - System Idle Process (PID: 0) - CPU: 479.8%, MEM: 6.474914239760894e-05%
2024-04-25 07:40:39 - MsMpEng.exe (PID: 6000) - CPU: 84.5%, MEM: 2.67627630272037%
2024-04-25 07:41:40 - System Idle Process (PID: 0) - CPU: 409.7%, MEM: 6.474914239760894e-05%
2024-04-25 07:42:42 - System Idle Process (PID: 0) - CPU: 541.4%, MEM: 6.474914239760894e-05%
2024-04-25 07:42:42 - python.exe (PID: 2372) - CPU: 81.6%, MEM: 0.8220551118800431%
2024-04-25 07:43:43 - System Idle Process (PID: 0) - CPU: 605.7%, MEM: 6.474914239760894e-05%
2024-04-25 07:44:46 - System Idle Process (PID: 0) - CPU: 691.9%, MEM: 6.474914239760894e-05%
2024-04-25 07:45:47 - System Idle Process (PID: 0) - CPU: 693.4%, MEM: 6.474914239760894e-05%
